Booking_Status,Lead_Time,Weekend_Stay,Weekend_Night,Booking_Changes,ADR,Arrival_Months,Market_Segments
0,111,0,0,0,0,7,6
0,0,0,0,0,0,7,3
0,2,1,0,0,131,7,3
0,7,1,1,0,98,7,6
0,98,1,1,0,87.3,7,6
0,95,1,2,0,97,7,6
1,48,1,3,0,167,7,6
0,66,1,3,0,91.5,7,5
0,104,1,3,1,73.8,7,6
0,28,1,4,0,123,7,6
0,34,1,4,0,175,7,3
0,98,1,5,0,117.8,7,6
0,104,1,5,1,117.63,7,6
0,68,2,5,0,185,7,6
1,86,2,5,0,71,7,5
0,258,2,5,0,47.25,7,5
0,111,3,5,0,151,7,6
1,94,3,7,0,87.3,7,6
0,112,3,7,0,120.6,7,5
0,100,3,7,1,63.86,7,5
0,33,3,7,5,157.1,7,3
0,97,3,7,0,91.37,7,5
0,80,3,8,1,73,7,3
0,90,4,10,0,110.7,7,5
0,111,4,10,0,93.6,7,5
0,65,2,5,0,83.5,7,5
1,67,0,2,0,73.8,7,6
0,55,0,3,0,82,7,6
0,21,0,3,0,185.5,7,3
0,8,0,0,0,0,7,3
0,8,0,0,0,0,7,6
0,0,0,1,0,109.8,7,6
0,0,0,1,0,195,7,3
0,0,0,1,0,109.8,7,6
0,8,0,4,2,193,7,6
0,66,0,4,0,97,7,6
0,88,0,4,0,150,7,5
0,0,0,4,2,98,7,3
1,43,0,5,0,91.5,7,5
1,88,2,5,0,139,7,6
0,54,2,5,0,79.5,7,5
1,292,2,5,0,47.25,7,5
0,112,4,10,0,126.65,7,5
0,68,0,3,0,107,7,6
0,7,0,4,0,131,7,6
0,1,0,4,0,131,7,6
1,113,0,4,0,123,7,6
0,5,0,4,0,146,7,6
0,83,0,4,0,110.7,7,5
1,105,0,4,0,73.8,7,6
0,0,0,1,0,61,7,5
1,1,0,1,0,104.72,7,2
1,1,0,1,0,104.72,7,2
0,1,0,2,0,104.72,7,2
1,102,1,4,0,66.42,7,3
0,113,2,4,1,77.96,7,3
1,280,2,5,0,112,7,5
0,96,2,5,0,107,7,6
0,394,2,5,0,89.68,7,5
0,33,2,5,0,155,7,6
0,82,2,6,0,112,7,3
0,100,2,7,1,130.1,7,6
0,100,2,7,0,100.1,7,6
0,17,0,1,0,123,7,6
0,68,0,2,0,124,7,3
0,12,0,2,2,146,7,3
1,77,0,3,0,97,7,3
1,24,0,3,0,123,7,6
1,44,0,3,0,153,7,6
0,78,0,3,0,82,7,6
1,17,1,3,0,105.08,7,6
1,103,1,3,0,65.42,7,6
0,16,1,3,0,98,7,3
0,14,2,3,0,75.46,7,6
0,77,2,3,0,65.5,7,5
0,90,2,5,0,90.95,7,5
0,90,2,5,0,93.6,7,5
0,90,2,5,0,119.25,7,5
0,366,2,5,0,134.73,7,5
0,249,2,5,0,112,7,6
1,69,2,6,0,118.13,7,6
0,10,0,1,0,131,7,3
0,22,0,2,0,88.2,7,6
0,91,0,2,0,73.8,7,6
0,23,0,2,0,98,7,6
0,11,0,2,0,110.5,7,6
0,3,0,2,0,131,7,6
0,13,0,2,2,185,7,6
0,108,0,2,1,87.3,7,6
0,91,0,2,0,73.8,7,6
0,37,1,2,0,120,7,6
0,21,1,2,0,98,7,3
0,106,1,2,0,96.3,7,6
0,30,2,2,0,197,7,3
0,30,2,2,0,197,7,3
1,51,2,3,0,123,7,6
0,79,2,3,0,82,7,6
0,21,2,3,1,165,7,3
0,35,2,3,0,149.4,7,6
0,78,2,5,1,106.84,7,6
0,31,2,5,1,161,7,3
0,78,2,5,1,134.43,7,6
0,78,2,5,1,144.43,7,6
0,44,2,5,2,152,7,5
0,34,2,5,0,125.54,7,6
0,87,2,5,0,133.83,7,5
0,11,2,6,0,159.75,7,3
0,115,2,7,0,120.6,7,6
0,86,3,7,0,112.2,7,6
0,41,4,7,0,110.6,7,6
0,32,4,9,0,105.9,7,6
0,34,2,5,0,95.27,7,6
0,34,2,5,0,108.83,7,6
1,100,2,3,0,153.96,7,5
0,44,2,3,0,120.6,7,6
0,304,2,4,1,90.67,7,3
1,36,2,4,0,126.67,7,6
0,117,2,4,0,144.4,7,5
0,70,2,4,0,99.5,7,6
0,110,2,5,0,139.4,7,3
1,109,2,5,0,73.8,7,6
0,33,2,2,0,89.97,7,6
0,33,2,2,0,123,7,6
0,33,2,2,1,123,7,6
0,0,0,1,0,123,7,3
0,0,0,1,1,144.9,7,6
0,0,0,1,0,153,7,3
0,0,0,1,0,131,7,6
0,84,1,1,0,100,7,2
0,71,1,1,0,65.5,7,5
0,16,1,1,0,123,7,6
0,54,2,1,0,123,7,6
0,8,2,1,0,131,7,6
0,36,2,5,0,104.68,7,5
0,40,2,5,0,166,7,6
1,59,2,6,0,111.25,7,6
0,79,2,6,1,213.75,7,3
0,32,4,6,1,178,7,6
0,110,2,5,0,113.9,7,3
0,33,2,5,0,129.29,7,6
0,53,1,0,0,153,7,6
0,2,1,0,0,98,7,6
0,8,2,4,0,169,7,6
1,72,2,4,0,93,7,6
0,12,2,5,0,132.29,7,6
0,48,2,5,0,123,7,5
0,90,2,5,0,117.22,7,5
0,34,2,5,1,149,7,5
1,58,2,5,0,164.57,7,3
0,59,2,5,0,107,7,5
0,90,2,5,0,117.22,7,5
0,116,2,5,0,119.25,7,5
0,31,2,5,0,123,7,5
1,51,2,5,0,105.71,7,6
0,48,2,5,0,123,7,5
0,59,2,5,0,144.43,7,6
1,97,3,5,0,126,7,6
0,12,4,5,0,148.3,7,6
0,64,4,5,0,125.22,7,6
0,31,4,7,0,123,7,5
0,59,4,7,0,130,7,5
1,55,4,10,2,133.16,7,5
0,81,2,5,0,78.84,7,5
0,1,1,0,0,80.1,7,6
0,34,2,0,0,193,7,6
0,13,2,0,0,88.2,7,6
0,40,2,0,0,90.71,7,6
0,1,2,0,0,114.5,7,6
0,34,2,0,0,120.2,7,6
0,88,2,1,1,79.5,7,5
0,9,2,1,0,117.9,7,6
1,24,2,1,0,128,7,6
0,97,2,2,0,90.95,7,5
0,60,2,2,2,107,7,6
0,100,2,2,0,130.05,7,3
0,50,2,3,0,123,7,5
1,47,2,3,0,103.8,7,6
0,8,2,3,0,196,7,6
0,34,2,3,0,149.4,7,6
0,47,2,5,0,175.71,7,6
0,115,2,5,1,119.7,7,5
1,79,2,5,0,100.86,7,6
0,91,2,5,0,100.86,7,6
0,98,1,1,0,82,7,6
0,109,1,1,0,73.8,7,6
0,0,1,1,0,117.9,7,6
0,98,1,1,0,82,7,6
0,0,1,1,0,150,7,3
0,9,1,1,0,161,7,6
0,62,1,1,0,64,7,6
1,45,1,1,0,123,7,6
0,42,1,2,0,110,7,6
0,54,1,2,0,88.2,7,6
0,51,1,2,0,130,7,6
0,54,1,2,0,88.2,7,6
0,58,1,2,2,165,7,3
0,0,1,3,0,114,7,2
1,60,1,4,0,79.5,7,5
1,321,1,4,0,132.8,7,3
0,40,1,4,0,120,7,3
1,51,1,4,0,79.5,7,5
0,38,1,4,0,120,7,3
1,75,1,4,0,144.2,7,6
0,101,1,4,0,107.2,7,6
1,42,1,4,0,120,7,6
0,40,1,4,0,120,7,3
0,109,1,4,0,163.8,7,3
1,81,1,5,0,98.5,7,6
1,98,1,5,0,130.5,7,6
0,32,1,5,2,153,7,5
0,72,1,5,0,98.5,7,6
0,115,2,5,0,119.7,7,5
0,118,2,5,0,184.6,7,3
0,81,2,5,0,181.22,7,3
1,95,2,5,0,100.86,7,6
0,16,1,0,0,100.2,7,6
0,56,1,3,1,134.25,7,6
0,88,3,5,0,96.3,7,5
0,41,3,6,0,83.09,7,6
1,40,0,1,0,105.5,7,5
0,1,0,1,0,134,7,2
0,1,0,1,2,8,7,6
0,1,0,2,1,146,7,6
1,76,0,4,0,126,7,6
0,0,0,4,0,111.15,7,6
0,49,0,5,1,136.2,7,6
0,76,0,5,0,101.8,7,3
0,73,1,5,0,127,7,3
0,73,1,5,0,161.5,7,3
0,317,1,5,1,230.67,7,3
1,112,2,5,0,65.7,7,6
0,6,2,5,0,180,7,6
0,8,2,5,1,168.57,7,6
1,96,2,7,0,107.67,7,5
1,96,2,7,0,96.9,7,6
0,99,2,7,0,107,7,3
0,66,2,9,0,73.41,7,6
0,38,4,10,0,109.9,7,6
0,38,4,10,1,109.9,7,6
0,113,4,11,1,187.5,7,3
0,0,0,1,0,134,7,2
1,62,0,3,0,91.5,7,5
1,39,0,3,0,132.44,7,6
0,37,2,4,0,106.9,7,6
1,58,2,5,0,131.86,7,6
0,37,2,6,0,216.13,7,6
0,57,0,2,0,107,7,4
0,57,0,2,0,107,7,4
0,57,0,2,0,107,7,4
0,57,0,2,0,107,7,4
0,57,0,2,0,107,7,4
0,83,2,7,0,190.33,7,6
0,57,0,2,0,107,7,4
0,57,0,2,1,94,7,4
1,57,0,2,0,0,7,4
0,57,0,2,0,98.75,7,4
0,57,0,2,1,148.23,7,4
0,57,0,2,1,94,7,4
0,57,0,2,0,107,7,4
0,57,0,2,0,107,7,4
0,57,0,2,1,148.23,7,4
0,57,0,2,1,0,7,4
0,57,0,2,0,107,7,4
0,57,0,2,0,107,7,4
0,57,0,2,0,107,7,4
0,57,0,2,0,107,7,4
0,57,0,2,0,98.75,7,4
1,66,0,2,0,195,7,6
0,13,0,2,0,120.6,7,6
0,50,0,1,0,123.2,7,6
1,48,0,1,0,112,7,3
1,0,0,1,0,123.2,7,6
0,7,0,1,1,169,7,6
0,0,0,2,1,198,7,3
1,66,0,2,0,103.5,7,6
0,13,0,2,0,135.6,7,6
0,66,0,2,0,103.5,7,6
0,10,0,3,0,184,7,3
1,10,0,3,0,134,7,3
1,58,0,3,0,147,7,6
1,17,0,3,0,151.33,7,6
0,19,0,3,0,121.33,7,6
0,10,2,3,0,150.2,7,3
1,12,2,3,0,139,7,3
0,10,2,3,1,150.2,7,3
0,63,1,3,0,75.44,7,6
1,35,1,3,0,135,7,6
0,113,2,4,0,166,7,6
1,35,2,4,0,135,7,6
0,68,2,5,0,130,7,5
0,113,2,6,1,96.3,7,5
0,21,4,10,1,160,7,3
0,6,0,0,0,0,7,6
0,7,0,2,0,127.25,7,3
0,17,0,2,0,164,7,6
0,1,0,2,0,144.5,7,6
0,2,0,2,0,112,7,5
1,15,0,2,0,134,7,6
1,7,0,2,0,127.25,7,3
0,11,0,2,0,155.5,7,6
1,6,0,2,0,110.5,7,6
0,1,0,2,0,144.5,7,3
0,1,0,2,0,144.5,7,3
0,48,0,2,0,123,7,5
0,15,0,2,0,120.6,7,6
1,3,0,2,0,107.6,7,5
1,23,1,2,0,120.6,7,6
0,53,2,3,0,107,7,5
0,53,2,3,0,133.75,7,5
0,94,2,3,0,103.5,7,3
0,64,2,3,0,84.8,7,5
0,53,2,3,0,107,7,5
0,53,2,3,0,107,7,5
0,64,2,3,0,84.8,7,5
0,53,2,3,0,107,7,5
0,24,2,3,1,195,7,3
0,24,2,4,0,164,7,6
0,23,2,5,0,195,7,3
0,53,2,5,1,125,7,6
1,23,2,5,0,195,7,3
0,90,2,5,1,132.3,7,6
0,79,2,5,0,145,7,6
0,43,2,5,0,92,7,5
0,90,2,5,1,132.3,7,6
0,65,2,6,0,147,7,6
0,65,2,6,0,167,7,6
0,99,2,6,0,210,7,3
0,25,3,7,1,194.9,7,3
0,92,1,2,3,103.5,7,6
0,91,1,2,3,118.5,7,6
0,38,1,2,1,192,7,6
0,6,1,2,0,128.27,7,5
0,38,1,2,0,135,7,6
0,13,1,2,0,126.3,7,6
1,32,1,2,0,154,7,6
0,315,1,2,0,96.3,7,5
0,8,1,2,0,126.3,7,6
1,0,0,1,0,136,7,3
0,91,1,2,4,118.5,7,6
0,3,1,2,0,116.33,7,6
0,9,2,2,0,164,7,3
0,19,2,1,0,147.67,7,6
0,25,2,4,0,145,7,3
0,108,2,4,1,147,7,6
1,37,2,4,0,168.3,7,6
0,45,2,5,0,167,7,6
0,64,2,5,0,137.75,7,3
0,44,2,2,1,145,7,3
0,26,2,2,0,132.6,7,6
1,96,2,2,0,147,7,6
1,123,2,2,1,157,7,6
1,42,2,3,0,210,7,6
0,59,2,3,0,132.5,7,5
0,28,2,3,0,98.02,7,6
0,106,2,3,0,126,7,3
0,1,0,1,0,173,7,3
0,0,0,1,0,249,7,3
0,4,1,1,0,186.5,7,6
0,3,2,1,0,95,7,3
0,73,2,5,0,241.5,7,3
0,44,2,5,0,177,7,6
0,95,2,5,0,153.73,7,5
0,94,2,5,0,115,7,3
1,40,2,5,0,127.03,7,5
0,64,2,5,0,128.25,7,3
0,64,2,5,0,128.25,7,3
0,94,2,5,0,115,7,3
0,57,2,6,0,135,7,5
1,60,2,6,0,167,7,6
0,57,2,6,0,135,7,5
0,87,4,10,0,124.5,7,6
0,0,1,0,0,98,7,3
0,0,1,0,0,98,7,6
0,6,1,0,0,135,7,3
0,0,1,0,0,88.2,7,6
0,19,1,0,0,120.6,7,6
0,4,2,0,0,154.5,7,6
1,59,2,1,0,145,7,6
0,44,2,2,0,92,7,3
1,37,2,2,0,154,7,6
0,66,2,3,0,115,7,3
1,38,2,4,0,110.53,7,5
1,62,2,5,0,158.5,7,5
0,41,2,5,0,131.37,7,6
1,60,2,5,0,117.71,7,6
0,104,2,5,0,123,7,5
1,62,2,5,0,158.5,7,5
0,117,2,5,1,117.84,7,6
1,31,2,5,0,154,7,6
0,34,2,5,0,116.85,7,5
0,47,2,4,0,129.16,7,6
1,24,2,4,0,214,7,6
1,104,2,4,0,115,7,6
0,104,2,5,0,123,7,5
0,32,2,5,0,123,7,5
1,47,3,5,0,195,7,6
0,29,4,6,0,135.2,7,5
0,30,4,10,0,123,7,5
0,123,2,4,2,130.5,7,6
0,14,1,0,0,123,7,5
1,118,1,2,0,179.1,7,6
0,0,0,0,0,0,7,5
0,0,0,0,0,0,7,6
0,79,1,3,0,115,7,6
0,63,1,3,0,115,7,6
0,68,1,3,3,103.5,7,6
0,96,1,3,0,157,7,3
1,41,1,3,0,135,7,6
0,46,1,3,0,111.65,7,6
1,41,1,3,0,135,7,6
1,60,1,4,0,195,7,6
0,41,1,4,0,104,7,5
1,69,1,4,0,135,7,6
1,41,1,5,0,214,7,6
0,52,1,5,0,133.17,7,3
1,41,1,5,1,141.33,7,6
0,89,2,5,0,121.01,7,5
1,28,2,5,0,240.64,7,3
0,65,2,5,0,167.5,7,6
0,82,2,5,0,152.43,7,6
0,42,2,5,0,148.34,7,5
0,62,2,5,1,167,7,6
1,86,2,5,1,172.93,7,3
1,118,2,5,0,179.1,7,6
0,28,2,5,0,192.5,7,5
1,52,3,6,0,92,7,5
1,49,3,6,0,111.2,7,5
0,39,3,7,1,141.6,7,5
0,39,3,7,0,141.6,7,5
0,39,3,7,0,141.6,7,5
1,7,3,8,0,200,7,5
1,7,3,8,0,200,7,5
1,42,0,2,0,157,7,6
0,5,0,2,0,99.5,7,2
1,81,0,3,0,115,7,6
1,63,0,4,0,195,7,6
0,61,0,4,0,103.5,7,6
0,8,0,5,1,207,7,3
0,89,1,5,0,163.33,7,3
0,57,2,5,0,151.86,7,6
0,102,2,5,0,95.57,7,5
0,108,2,6,0,112.05,7,6
0,28,2,7,0,160,7,3
0,29,2,8,0,103.18,7,6
0,0,0,1,0,153,7,3
1,96,0,4,0,119.75,7,6
1,44,0,4,0,135,7,6
0,44,0,4,1,167.69,7,6
1,44,0,4,0,195,7,6
1,44,0,4,0,135,7,6
1,41,1,4,0,178.4,7,6
0,16,0,0,0,0,7,6
0,73,0,0,1,0,7,6
0,3,0,1,0,154,7,6
0,0,0,1,0,134,7,3
1,55,0,1,0,112,7,3
0,33,0,3,1,194,7,6
1,19,0,3,0,153,7,6
1,55,0,3,0,135,7,6
0,33,0,3,0,184,7,6
1,19,1,3,0,210,7,6
1,19,1,3,0,139,7,3
0,117,2,3,0,101.46,7,5
1,72,2,4,0,145,7,6
1,19,1,3,0,173,7,6
0,34,2,6,1,217.05,7,5
0,9,0,2,0,164,7,6
0,8,0,2,0,173,7,6
1,36,0,1,0,112.5,7,3
0,22,0,2,0,153,7,6
0,22,0,2,0,173,7,6
0,22,0,2,0,153,7,6
0,36,0,2,0,134,7,6
0,22,0,2,0,153,7,6
1,22,0,2,0,233,7,6
0,18,0,2,0,154,7,3
0,8,0,2,0,173,7,6
1,67,0,2,0,135,7,6
1,105,0,2,0,132.5,7,5
0,1,1,2,2,222.67,7,6
1,67,0,2,0,135,7,6
0,39,0,2,0,107,7,5
1,45,1,2,0,127,7,6
1,45,2,2,0,135,7,6
0,14,2,2,0,149.7,7,6
1,53,2,2,0,161.25,7,6
0,28,2,2,0,107,7,5
0,55,2,3,0,75.44,7,6
0,55,2,3,0,75.44,7,6
0,25,2,5,1,115,7,3
1,43,2,5,0,159.2,7,5
1,109,2,5,0,163.29,7,6
1,62,2,6,0,210,7,6
0,25,2,6,0,154,7,3
0,43,2,7,0,166,7,6
0,35,3,7,0,132.5,7,5
1,42,3,7,0,107,7,5
1,312,4,10,0,121.98,7,5
0,30,0,0,0,0,7,6
0,47,2,1,0,133,7,5
0,40,0,1,0,107,7,5
0,11,0,1,0,117.81,7,6
0,39,0,1,0,107,7,5
1,39,0,1,0,120.6,7,6
0,1,1,1,0,147,7,3
1,12,1,1,0,153,7,6
1,16,1,1,0,153,7,6
1,16,1,1,0,134,7,3
0,12,1,1,0,153,7,6
0,51,2,1,0,118,7,5
0,67,2,2,1,134,7,6
0,52,2,3,0,135,7,5
0,25,2,3,0,158.77,7,6
0,94,2,3,0,134,7,6
1,54,2,3,0,134,7,6
0,33,2,3,0,142.03,7,6
0,47,2,3,1,240,7,3
0,43,2,4,0,134,7,3
1,87,2,4,0,134,7,6
0,54,2,5,0,147,7,6
0,32,2,5,0,176,7,6
1,29,2,5,1,120.6,7,6
1,96,2,5,0,166,7,6
1,100,2,5,0,134,7,6
0,54,2,5,0,147,7,6
0,75,2,5,1,167,7,6
0,31,2,5,0,107.2,7,5
1,25,2,6,0,131.63,7,3
0,61,2,6,0,233.05,7,6
0,60,2,6,1,90.12,7,6
1,31,3,6,0,120.6,7,6
1,107,3,6,0,125,7,6
1,31,3,6,0,154,7,6
0,115,4,6,0,120.6,7,6
0,59,4,8,0,114.25,7,5
1,85,4,10,0,107,7,5
0,0,2,5,0,88.55,7,6
1,299,2,5,0,149,7,6
0,50,2,5,0,195,7,3
1,50,2,5,0,164,7,6
1,88,2,2,0,154,7,6
1,116,2,3,0,120.6,7,6
0,47,2,1,0,103.5,7,6
0,48,2,1,0,115,7,6
1,54,2,4,0,95.02,7,6
1,33,2,4,0,132.5,7,5
0,73,2,3,0,209,7,3
1,54,2,4,0,95.02,7,6
1,33,2,4,0,132.5,7,5
0,38,2,5,0,180,7,3
0,34,2,0,0,103.18,7,6
0,130,2,5,0,174.01,7,3
1,39,3,5,0,133,7,5
1,39,3,5,0,133,7,5
0,45,2,5,0,107.2,7,5
0,31,0,0,1,0,7,6
1,48,1,1,0,210,7,6
0,59,1,1,0,145,7,6
1,48,1,1,0,195,7,6
1,48,1,1,1,124.2,7,6
1,48,1,1,0,167,7,6
0,48,1,2,0,145,7,6
0,96,1,2,0,166,7,6
0,51,1,2,0,115,7,3
0,96,1,2,0,166,7,6
1,41,1,3,0,120.6,7,6
0,6,1,3,5,162,7,3
0,27,1,3,0,153,7,6
0,28,1,3,0,133.2,7,5
0,30,1,3,0,134,7,6
0,45,1,3,0,107,7,5
0,52,1,3,0,145,7,3
0,31,1,3,0,145,7,3
1,74,1,3,0,107,7,5
0,31,1,3,0,167.2,7,5
1,87,1,3,0,134,7,6
0,48,1,3,1,130,7,6
1,41,1,3,0,164,7,6
0,35,1,3,0,149,7,5
0,28,1,4,0,154,7,6
0,77,1,4,1,195,7,6
1,33,1,4,0,134,7,6
0,30,1,4,0,107.2,7,5
1,34,1,4,0,164,7,6
1,298,1,5,0,183.45,7,5
0,35,1,5,0,159.6,7,6
0,40,1,5,0,120.6,7,6
1,101,2,5,0,164,7,6
1,101,2,5,0,219.43,7,6
1,101,2,5,0,134,7,6
1,101,2,5,0,164,7,6
0,38,2,5,0,107.2,7,5
0,76,2,5,0,102.72,7,6
0,70,0,1,0,114.85,7,6
0,70,0,1,0,114.85,7,6
0,68,0,2,0,135,7,6
1,63,0,3,0,195,7,6
1,11,0,3,0,173,7,6
0,32,0,4,0,107,7,5
0,29,0,4,0,107,7,5
0,47,0,4,0,164,7,3
0,50,0,5,0,138.8,7,6
1,29,0,5,0,154,7,6
0,36,0,5,0,135,7,3
0,49,1,5,0,103.18,7,6
1,70,2,6,0,115.5,7,5
0,110,2,8,1,90.95,7,5
0,8,0,0,0,0,7,5
1,119,0,4,0,108.54,7,6
0,30,0,4,0,146,7,6
1,29,1,4,0,165.4,7,6
0,71,1,4,0,134,7,6
1,37,1,4,0,133,7,5
1,40,1,4,0,240,7,3
0,37,1,4,0,157,7,3
0,0,0,1,0,188,7,3
1,37,1,4,0,133,7,5
0,37,1,4,0,145,7,3
0,97,1,4,0,134,7,6
1,71,1,4,0,134,7,6
1,118,1,4,1,186,7,6
0,102,2,5,0,90.95,7,5
1,54,2,5,0,141.65,7,6
1,58,2,5,0,99.24,7,6
0,34,2,4,0,108.06,7,6
1,105,2,5,0,90.95,7,5
1,47,2,6,0,148.63,7,6
1,15,0,1,1,173,7,6
0,37,0,1,1,107,7,5
1,0,0,1,0,114,7,2
1,8,0,1,0,153,7,6
0,17,0,2,0,153,7,6
0,3,0,3,0,250.33,7,3
1,30,0,3,0,146.67,7,6
1,31,0,3,0,154,7,6
1,66,0,3,0,120.6,7,6
0,52,0,3,0,280.74,7,5
0,20,1,3,0,193,7,6
1,30,0,3,0,146.67,7,6
1,31,0,3,0,154,7,6
1,62,1,3,0,154.5,7,6
1,65,1,3,0,120.6,7,6
1,64,2,3,1,137.8,7,6
0,77,2,7,2,160,7,3
0,75,2,7,0,125.89,7,5
0,75,2,7,0,125.89,7,5
1,62,2,5,0,126.71,7,3
0,42,0,0,0,0,7,5
0,46,0,0,0,0,7,6
0,0,0,1,0,188,7,3
